Episode,AI_Won,Total_Reward,Epsilon
655,1,2539.64,0.00500081
656,1,4587.44,0.00500081
657,1,743.818,0.00500081
658,1,4759.34,0.00500081
659,0,-2842.62,0.00500081
660,1,5280.01,0.00500081
661,1,2626.64,0.00500081
662,0,2097.69,0.00500081
663,1,3416.62,0.00500081
664,1,3893.24,0.00500081
665,0,-5164.18,0.00500081
Episode,AI_Won,Total_Reward,Epsilon
1,0,-1569.99,1
2,0,-1655.01,0.995
3,0,-1842.54,0.99
4,0,-1389.98,0.985
5,0,-1806.59,0.98
6,0,-846.552,0.975
7,0,-2775.91,0.97
8,0,-1106.2,0.965
9,0,-2644.1,0.96
10,0,-946.993,0.955
11,0,-2349.03,0.95
12,1,5598.97,0.945
13,0,-4055.8,0.94
14,0,-2236.59,0.935
15,0,-1110.14,0.93
16,0,-2501.18,0.925
17,0,-775.808,0.92
18,0,-2771.29,0.915
19,0,-924.511,0.91
20,0,-2507.14,0.905
21,0,-1029.39,0.9
22,0,-2504.12,0.895
23,0,-776.874,0.89
24,0,-2775.31,0.885
